V_i=5000,V_h=7000
Ising: E=0.2432, m=-0.013;  Heat bath: E=0.3125, T = 1.268; E_tot=0.284∓0.016
Ising: E=0.2396, m=-0.020;  Heat bath: E=0.3127, T = 1.270; E_tot=0.283∓0.016
Ising: E=0.2364, m=-0.021;  Heat bath: E=0.3119, T = 1.264; E_tot=0.281∓0.016
Ising: E=0.2370, m=-0.010;  Heat bath: E=0.3115, T = 1.261; E_tot=0.281∓0.016
Ising: E=0.2440, m=-0.106;  Heat bath: E=0.3081, T = 1.236; E_tot=0.281∓0.016
Ising: E=0.2450, m=-0.049;  Heat bath: E=0.3060, T = 1.221; E_tot=0.279∓0.016
Ising: E=0.2361, m=0.022;  Heat bath: E=0.3077, T = 1.233; E_tot=0.278∓0.016
Ising: E=0.2309, m=-0.005;  Heat bath: E=0.3087, T = 1.240; E_tot=0.278∓0.016
Ising: E=0.2351, m=-0.121;  Heat bath: E=0.3073, T = 1.230; E_tot=0.278∓0.016
Ising: E=0.2321, m=-0.008;  Heat bath: E=0.3060, T = 1.221; E_tot=0.276∓0.016
Ising: E=0.2366, m=-0.162;  Heat bath: E=0.3044, T = 1.210; E_tot=0.276∓0.016
Ising: E=0.2369, m=-0.118;  Heat bath: E=0.3025, T = 1.197; E_tot=0.275∓0.016
Ising: E=0.2376, m=-0.083;  Heat bath: E=0.3013, T = 1.189; E_tot=0.274∓0.016
Ising: E=0.2349, m=-0.118;  Heat bath: E=0.3014, T = 1.190; E_tot=0.273∓0.016
Ising: E=0.2308, m=-0.076;  Heat bath: E=0.3024, T = 1.197; E_tot=0.273∓0.016
Ising: E=0.2309, m=-0.120;  Heat bath: E=0.3011, T = 1.188; E_tot=0.272∓0.016
Ising: E=0.2298, m=-0.266;  Heat bath: E=0.3006, T = 1.184; E_tot=0.271∓0.016
Ising: E=0.2280, m=-0.164;  Heat bath: E=0.3008, T = 1.186; E_tot=0.271∓0.016
Ising: E=0.2251, m=-0.128;  Heat bath: E=0.3013, T = 1.189; E_tot=0.271∓0.016
Ising: E=0.2211, m=-0.036;  Heat bath: E=0.3021, T = 1.195; E_tot=0.270∓0.016
Ising: E=0.2249, m=-0.158;  Heat bath: E=0.2995, T = 1.177; E_tot=0.269∓0.016
Ising: E=0.2253, m=-0.196;  Heat bath: E=0.2980, T = 1.167; E_tot=0.268∓0.016
Ising: E=0.2193, m=-0.149;  Heat bath: E=0.3008, T = 1.185; E_tot=0.269∓0.016
Ising: E=0.2182, m=-0.214;  Heat bath: E=0.2993, T = 1.176; E_tot=0.267∓0.016
Ising: E=0.2188, m=-0.134;  Heat bath: E=0.2978, T = 1.166; E_tot=0.266∓0.016
Ising: E=0.2096, m=-0.129;  Heat bath: E=0.2986, T = 1.171; E_tot=0.265∓0.016
Ising: E=0.2127, m=-0.240;  Heat bath: E=0.2974, T = 1.163; E_tot=0.265∓0.016
Ising: E=0.2148, m=-0.027;  Heat bath: E=0.2957, T = 1.152; E_tot=0.264∓0.016
Ising: E=0.2170, m=-0.235;  Heat bath: E=0.2942, T = 1.143; E_tot=0.263∓0.016
Ising: E=0.2152, m=-0.113;  Heat bath: E=0.2932, T = 1.137; E_tot=0.262∓0.016
Ising: E=0.2177, m=-0.232;  Heat bath: E=0.2928, T = 1.134; E_tot=0.262∓0.016
Ising: E=0.2156, m=-0.081;  Heat bath: E=0.2922, T = 1.130; E_tot=0.262∓0.016
Ising: E=0.2152, m=-0.237;  Heat bath: E=0.2901, T = 1.118; E_tot=0.260∓0.016
Ising: E=0.2091, m=-0.259;  Heat bath: E=0.2923, T = 1.131; E_tot=0.260∓0.016
Ising: E=0.2072, m=-0.221;  Heat bath: E=0.2918, T = 1.128; E_tot=0.259∓0.016
Ising: E=0.2120, m=-0.204;  Heat bath: E=0.2905, T = 1.120; E_tot=0.259∓0.016
Ising: E=0.2096, m=-0.294;  Heat bath: E=0.2897, T = 1.115; E_tot=0.258∓0.016
Ising: E=0.2037, m=-0.250;  Heat bath: E=0.2910, T = 1.123; E_tot=0.257∓0.016
Ising: E=0.1998, m=0.002;  Heat bath: E=0.2905, T = 1.120; E_tot=0.256∓0.016
Ising: E=0.2009, m=0.049;  Heat bath: E=0.2887, T = 1.109; E_tot=0.255∓0.016
Ising: E=0.2053, m=-0.140;  Heat bath: E=0.2869, T = 1.098; E_tot=0.255∓0.016
Ising: E=0.2014, m=-0.251;  Heat bath: E=0.2880, T = 1.105; E_tot=0.255∓0.016
Ising: E=0.2044, m=-0.262;  Heat bath: E=0.2855, T = 1.090; E_tot=0.254∓0.016
Ising: E=0.2021, m=-0.299;  Heat bath: E=0.2853, T = 1.089; E_tot=0.253∓0.016
Ising: E=0.2016, m=-0.178;  Heat bath: E=0.2862, T = 1.094; E_tot=0.253∓0.016
Ising: E=0.1989, m=-0.298;  Heat bath: E=0.2855, T = 1.090; E_tot=0.252∓0.016
Ising: E=0.2003, m=-0.176;  Heat bath: E=0.2842, T = 1.082; E_tot=0.252∓0.016
Ising: E=0.1961, m=-0.354;  Heat bath: E=0.2858, T = 1.092; E_tot=0.252∓0.016
Ising: E=0.1963, m=-0.259;  Heat bath: E=0.2861, T = 1.094; E_tot=0.252∓0.016
Ising: E=0.1961, m=-0.334;  Heat bath: E=0.2857, T = 1.091; E_tot=0.252∓0.016
Ising: E=0.1943, m=-0.195;  Heat bath: E=0.2836, T = 1.079; E_tot=0.250∓0.016
Ising: E=0.1897, m=-0.253;  Heat bath: E=0.2841, T = 1.082; E_tot=0.249∓0.016
Ising: E=0.1853, m=-0.165;  Heat bath: E=0.2853, T = 1.089; E_tot=0.248∓0.016
Ising: E=0.1910, m=-0.213;  Heat bath: E=0.2829, T = 1.075; E_tot=0.248∓0.016
Ising: E=0.1878, m=-0.200;  Heat bath: E=0.2829, T = 1.075; E_tot=0.247∓0.016
Ising: E=0.1814, m=-0.130;  Heat bath: E=0.2848, T = 1.086; E_tot=0.247∓0.016
Ising: E=0.1875, m=-0.351;  Heat bath: E=0.2822, T = 1.071; E_tot=0.247∓0.016
Ising: E=0.1785, m=-0.006;  Heat bath: E=0.2846, T = 1.085; E_tot=0.246∓0.016
Ising: E=0.1772, m=-0.204;  Heat bath: E=0.2836, T = 1.079; E_tot=0.245∓0.016
Ising: E=0.1792, m=-0.225;  Heat bath: E=0.2824, T = 1.072; E_tot=0.245∓0.016
Ising: E=0.1789, m=-0.444;  Heat bath: E=0.2820, T = 1.070; E_tot=0.244∓0.016
Ising: E=0.1792, m=-0.242;  Heat bath: E=0.2816, T = 1.068; E_tot=0.244∓0.016
Ising: E=0.1782, m=-0.146;  Heat bath: E=0.2817, T = 1.068; E_tot=0.244∓0.016
Ising: E=0.1805, m=-0.327;  Heat bath: E=0.2788, T = 1.052; E_tot=0.242∓0.016
Ising: E=0.1782, m=-0.367;  Heat bath: E=0.2793, T = 1.055; E_tot=0.242∓0.016
Ising: E=0.1756, m=-0.158;  Heat bath: E=0.2789, T = 1.052; E_tot=0.241∓0.016
Ising: E=0.1728, m=-0.291;  Heat bath: E=0.2786, T = 1.051; E_tot=0.240∓0.016
Ising: E=0.1766, m=-0.330;  Heat bath: E=0.2773, T = 1.044; E_tot=0.240∓0.016
Ising: E=0.1776, m=-0.226;  Heat bath: E=0.2767, T = 1.041; E_tot=0.240∓0.016
Ising: E=0.1734, m=-0.410;  Heat bath: E=0.2759, T = 1.037; E_tot=0.238∓0.016
Ising: E=0.1718, m=-0.500;  Heat bath: E=0.2770, T = 1.043; E_tot=0.239∓0.016
Ising: E=0.1708, m=-0.310;  Heat bath: E=0.2760, T = 1.037; E_tot=0.238∓0.016
Ising: E=0.1724, m=-0.230;  Heat bath: E=0.2761, T = 1.038; E_tot=0.238∓0.016
Ising: E=0.1752, m=-0.285;  Heat bath: E=0.2730, T = 1.021; E_tot=0.237∓0.016
Ising: E=0.1757, m=-0.251;  Heat bath: E=0.2726, T = 1.019; E_tot=0.237∓0.016
Ising: E=0.1722, m=-0.267;  Heat bath: E=0.2722, T = 1.017; E_tot=0.235∓0.016
Ising: E=0.1681, m=-0.355;  Heat bath: E=0.2722, T = 1.017; E_tot=0.234∓0.016
Ising: E=0.1663, m=-0.390;  Heat bath: E=0.2724, T = 1.018; E_tot=0.234∓0.016
Ising: E=0.1694, m=-0.537;  Heat bath: E=0.2715, T = 1.013; E_tot=0.234∓0.016
Ising: E=0.1638, m=-0.485;  Heat bath: E=0.2720, T = 1.016; E_tot=0.233∓0.016
Ising: E=0.1626, m=-0.254;  Heat bath: E=0.2721, T = 1.016; E_tot=0.233∓0.016
Ising: E=0.1660, m=-0.249;  Heat bath: E=0.2705, T = 1.008; E_tot=0.232∓0.016
Ising: E=0.1666, m=-0.140;  Heat bath: E=0.2695, T = 1.003; E_tot=0.232∓0.016
Ising: E=0.1666, m=-0.145;  Heat bath: E=0.2684, T = 0.997; E_tot=0.231∓0.016
Ising: E=0.1670, m=-0.230;  Heat bath: E=0.2669, T = 0.990; E_tot=0.230∓0.016
Ising: E=0.1687, m=-0.130;  Heat bath: E=0.2653, T = 0.982; E_tot=0.229∓0.016
Ising: E=0.1674, m=-0.315;  Heat bath: E=0.2661, T = 0.986; E_tot=0.230∓0.016
Ising: E=0.1611, m=-0.412;  Heat bath: E=0.2665, T = 0.988; E_tot=0.228∓0.016
Ising: E=0.1608, m=-0.519;  Heat bath: E=0.2663, T = 0.987; E_tot=0.228∓0.016
Ising: E=0.1566, m=-0.504;  Heat bath: E=0.2671, T = 0.991; E_tot=0.227∓0.016
Ising: E=0.1511, m=-0.458;  Heat bath: E=0.2684, T = 0.997; E_tot=0.227∓0.016
Ising: E=0.1540, m=-0.393;  Heat bath: E=0.2668, T = 0.989; E_tot=0.227∓0.016
Ising: E=0.1560, m=-0.268;  Heat bath: E=0.2657, T = 0.984; E_tot=0.226∓0.016
Ising: E=0.1583, m=-0.518;  Heat bath: E=0.2641, T = 0.976; E_tot=0.226∓0.016
Ising: E=0.1588, m=-0.546;  Heat bath: E=0.2627, T = 0.969; E_tot=0.225∓0.016
Ising: E=0.1558, m=-0.517;  Heat bath: E=0.2626, T = 0.969; E_tot=0.224∓0.016
Ising: E=0.1499, m=-0.632;  Heat bath: E=0.2647, T = 0.979; E_tot=0.224∓0.016
Ising: E=0.1449, m=-0.570;  Heat bath: E=0.2666, T = 0.988; E_tot=0.224∓0.016
Ising: E=0.1467, m=-0.540;  Heat bath: E=0.2648, T = 0.979; E_tot=0.223∓0.016
Ising: E=0.1462, m=-0.602;  Heat bath: E=0.2642, T = 0.976; E_tot=0.223∓0.016
Ising: E=0.1427, m=-0.667;  Heat bath: E=0.2646, T = 0.978; E_tot=0.222∓0.016
