V_i=5000,V_h=9000
Ising: E=0.2977, m=-0.067;  Heat bath: E=0.3844, T = 2.123; E_tot=0.357∓0.014
Ising: E=0.2990, m=-0.051;  Heat bath: E=0.3826, T = 2.090; E_tot=0.356∓0.014
Ising: E=0.2979, m=-0.073;  Heat bath: E=0.3817, T = 2.073; E_tot=0.355∓0.014
Ising: E=0.3024, m=-0.037;  Heat bath: E=0.3787, T = 2.021; E_tot=0.353∓0.014
Ising: E=0.3074, m=-0.092;  Heat bath: E=0.3756, T = 1.968; E_tot=0.352∓0.014
Ising: E=0.3096, m=-0.046;  Heat bath: E=0.3740, T = 1.941; E_tot=0.351∓0.014
Ising: E=0.3075, m=-0.104;  Heat bath: E=0.3734, T = 1.931; E_tot=0.350∓0.014
Ising: E=0.3133, m=-0.080;  Heat bath: E=0.3685, T = 1.856; E_tot=0.348∓0.014
Ising: E=0.3079, m=0.009;  Heat bath: E=0.3699, T = 1.878; E_tot=0.348∓0.014
Ising: E=0.3118, m=-0.072;  Heat bath: E=0.3673, T = 1.839; E_tot=0.346∓0.014
Ising: E=0.3070, m=-0.046;  Heat bath: E=0.3669, T = 1.832; E_tot=0.345∓0.014
Ising: E=0.3121, m=0.022;  Heat bath: E=0.3640, T = 1.792; E_tot=0.344∓0.014
Ising: E=0.3031, m=-0.001;  Heat bath: E=0.3648, T = 1.803; E_tot=0.343∓0.014
Ising: E=0.3053, m=-0.047;  Heat bath: E=0.3642, T = 1.795; E_tot=0.343∓0.014
Ising: E=0.3023, m=-0.068;  Heat bath: E=0.3641, T = 1.794; E_tot=0.342∓0.014
Ising: E=0.3011, m=0.023;  Heat bath: E=0.3613, T = 1.755; E_tot=0.340∓0.014
Ising: E=0.2959, m=-0.045;  Heat bath: E=0.3625, T = 1.771; E_tot=0.339∓0.014
Ising: E=0.3010, m=-0.051;  Heat bath: E=0.3603, T = 1.742; E_tot=0.339∓0.014
Ising: E=0.2996, m=-0.007;  Heat bath: E=0.3593, T = 1.729; E_tot=0.338∓0.014
Ising: E=0.2982, m=-0.080;  Heat bath: E=0.3586, T = 1.720; E_tot=0.337∓0.014
Ising: E=0.3010, m=-0.061;  Heat bath: E=0.3546, T = 1.669; E_tot=0.334∓0.014
Ising: E=0.3014, m=-0.092;  Heat bath: E=0.3551, T = 1.676; E_tot=0.335∓0.014
Ising: E=0.3021, m=-0.026;  Heat bath: E=0.3524, T = 1.644; E_tot=0.333∓0.014
Ising: E=0.2996, m=-0.030;  Heat bath: E=0.3524, T = 1.644; E_tot=0.332∓0.014
Ising: E=0.2995, m=-0.015;  Heat bath: E=0.3524, T = 1.643; E_tot=0.332∓0.014
Ising: E=0.3009, m=-0.057;  Heat bath: E=0.3502, T = 1.618; E_tot=0.331∓0.014
Ising: E=0.2937, m=0.021;  Heat bath: E=0.3509, T = 1.626; E_tot=0.330∓0.014
Ising: E=0.2904, m=-0.036;  Heat bath: E=0.3511, T = 1.629; E_tot=0.329∓0.014
Ising: E=0.2910, m=-0.014;  Heat bath: E=0.3501, T = 1.616; E_tot=0.329∓0.014
Ising: E=0.2995, m=-0.038;  Heat bath: E=0.3467, T = 1.578; E_tot=0.328∓0.014
Ising: E=0.2927, m=-0.033;  Heat bath: E=0.3464, T = 1.575; E_tot=0.326∓0.014
Ising: E=0.2923, m=-0.012;  Heat bath: E=0.3460, T = 1.570; E_tot=0.326∓0.014
Ising: E=0.2863, m=-0.034;  Heat bath: E=0.3461, T = 1.572; E_tot=0.324∓0.014
Ising: E=0.2906, m=-0.058;  Heat bath: E=0.3437, T = 1.546; E_tot=0.323∓0.014
Ising: E=0.2802, m=-0.064;  Heat bath: E=0.3458, T = 1.569; E_tot=0.323∓0.014
Ising: E=0.2831, m=-0.069;  Heat bath: E=0.3436, T = 1.544; E_tot=0.322∓0.014
Ising: E=0.2837, m=-0.031;  Heat bath: E=0.3426, T = 1.534; E_tot=0.321∓0.014
Ising: E=0.2814, m=0.013;  Heat bath: E=0.3412, T = 1.520; E_tot=0.320∓0.014
Ising: E=0.2812, m=-0.084;  Heat bath: E=0.3406, T = 1.514; E_tot=0.319∓0.014
Ising: E=0.2732, m=-0.020;  Heat bath: E=0.3412, T = 1.520; E_tot=0.318∓0.014
Ising: E=0.2687, m=-0.025;  Heat bath: E=0.3406, T = 1.514; E_tot=0.316∓0.014
Ising: E=0.2703, m=0.002;  Heat bath: E=0.3395, T = 1.503; E_tot=0.316∓0.014
Ising: E=0.2786, m=-0.022;  Heat bath: E=0.3363, T = 1.471; E_tot=0.315∓0.014
Ising: E=0.2752, m=-0.034;  Heat bath: E=0.3361, T = 1.469; E_tot=0.314∓0.014
Ising: E=0.2766, m=-0.082;  Heat bath: E=0.3342, T = 1.451; E_tot=0.313∓0.014
Ising: E=0.2759, m=-0.007;  Heat bath: E=0.3337, T = 1.446; E_tot=0.312∓0.014
Ising: E=0.2756, m=-0.082;  Heat bath: E=0.3332, T = 1.441; E_tot=0.312∓0.014
Ising: E=0.2630, m=-0.098;  Heat bath: E=0.3349, T = 1.458; E_tot=0.311∓0.014
Ising: E=0.2633, m=-0.048;  Heat bath: E=0.3342, T = 1.451; E_tot=0.310∓0.014
Ising: E=0.2737, m=0.048;  Heat bath: E=0.3301, T = 1.413; E_tot=0.309∓0.014
Ising: E=0.2743, m=-0.063;  Heat bath: E=0.3293, T = 1.406; E_tot=0.309∓0.014
Ising: E=0.2654, m=-0.044;  Heat bath: E=0.3295, T = 1.408; E_tot=0.307∓0.014
Ising: E=0.2672, m=-0.036;  Heat bath: E=0.3287, T = 1.401; E_tot=0.307∓0.014
Ising: E=0.2665, m=-0.130;  Heat bath: E=0.3281, T = 1.395; E_tot=0.306∓0.014
Ising: E=0.2656, m=-0.076;  Heat bath: E=0.3276, T = 1.390; E_tot=0.305∓0.014
Ising: E=0.2626, m=-0.117;  Heat bath: E=0.3272, T = 1.387; E_tot=0.304∓0.014
Ising: E=0.2635, m=-0.060;  Heat bath: E=0.3256, T = 1.374; E_tot=0.303∓0.014
Ising: E=0.2651, m=-0.058;  Heat bath: E=0.3252, T = 1.370; E_tot=0.303∓0.014
Ising: E=0.2623, m=-0.148;  Heat bath: E=0.3241, T = 1.361; E_tot=0.302∓0.014
Ising: E=0.2558, m=-0.112;  Heat bath: E=0.3257, T = 1.374; E_tot=0.302∓0.014
Ising: E=0.2508, m=-0.047;  Heat bath: E=0.3241, T = 1.360; E_tot=0.299∓0.014
Ising: E=0.2607, m=-0.040;  Heat bath: E=0.3210, T = 1.335; E_tot=0.299∓0.014
Ising: E=0.2581, m=-0.114;  Heat bath: E=0.3212, T = 1.336; E_tot=0.299∓0.014
Ising: E=0.2614, m=-0.046;  Heat bath: E=0.3197, T = 1.324; E_tot=0.298∓0.014
Ising: E=0.2641, m=-0.103;  Heat bath: E=0.3177, T = 1.308; E_tot=0.297∓0.014
Ising: E=0.2626, m=-0.075;  Heat bath: E=0.3172, T = 1.304; E_tot=0.297∓0.014
Ising: E=0.2616, m=-0.100;  Heat bath: E=0.3164, T = 1.298; E_tot=0.296∓0.014
Ising: E=0.2561, m=-0.074;  Heat bath: E=0.3162, T = 1.296; E_tot=0.294∓0.014
Ising: E=0.2632, m=-0.078;  Heat bath: E=0.3147, T = 1.285; E_tot=0.295∓0.014
Ising: E=0.2557, m=-0.086;  Heat bath: E=0.3165, T = 1.299; E_tot=0.295∓0.014
Ising: E=0.2571, m=-0.217;  Heat bath: E=0.3150, T = 1.287; E_tot=0.294∓0.014
Ising: E=0.2581, m=-0.106;  Heat bath: E=0.3138, T = 1.278; E_tot=0.293∓0.014
Ising: E=0.2626, m=-0.068;  Heat bath: E=0.3113, T = 1.259; E_tot=0.292∓0.014
Ising: E=0.2464, m=-0.146;  Heat bath: E=0.3135, T = 1.276; E_tot=0.290∓0.014
Ising: E=0.2525, m=-0.039;  Heat bath: E=0.3116, T = 1.261; E_tot=0.290∓0.014
Ising: E=0.2540, m=-0.025;  Heat bath: E=0.3086, T = 1.240; E_tot=0.288∓0.014
Ising: E=0.2524, m=0.026;  Heat bath: E=0.3091, T = 1.243; E_tot=0.288∓0.014
Ising: E=0.2581, m=-0.012;  Heat bath: E=0.3069, T = 1.227; E_tot=0.288∓0.014
Ising: E=0.2531, m=-0.080;  Heat bath: E=0.3086, T = 1.240; E_tot=0.288∓0.014
Ising: E=0.2487, m=-0.055;  Heat bath: E=0.3088, T = 1.241; E_tot=0.287∓0.014
Ising: E=0.2470, m=-0.066;  Heat bath: E=0.3074, T = 1.231; E_tot=0.286∓0.014
Ising: E=0.2432, m=-0.089;  Heat bath: E=0.3078, T = 1.234; E_tot=0.285∓0.014
Ising: E=0.2391, m=-0.060;  Heat bath: E=0.3093, T = 1.245; E_tot=0.285∓0.014
Ising: E=0.2361, m=-0.087;  Heat bath: E=0.3092, T = 1.244; E_tot=0.285∓0.014
Ising: E=0.2409, m=0.002;  Heat bath: E=0.3062, T = 1.222; E_tot=0.283∓0.014
Ising: E=0.2407, m=-0.042;  Heat bath: E=0.3061, T = 1.222; E_tot=0.283∓0.014
Ising: E=0.2301, m=-0.024;  Heat bath: E=0.3090, T = 1.243; E_tot=0.283∓0.014
Ising: E=0.2321, m=-0.145;  Heat bath: E=0.3065, T = 1.225; E_tot=0.282∓0.014
Ising: E=0.2341, m=-0.124;  Heat bath: E=0.3055, T = 1.217; E_tot=0.281∓0.014
Ising: E=0.2301, m=-0.114;  Heat bath: E=0.3064, T = 1.224; E_tot=0.281∓0.014
Ising: E=0.2286, m=0.004;  Heat bath: E=0.3056, T = 1.219; E_tot=0.280∓0.014
Ising: E=0.2314, m=0.016;  Heat bath: E=0.3047, T = 1.212; E_tot=0.280∓0.014
Ising: E=0.2377, m=-0.044;  Heat bath: E=0.3032, T = 1.202; E_tot=0.280∓0.014
Ising: E=0.2366, m=-0.129;  Heat bath: E=0.3020, T = 1.194; E_tot=0.279∓0.014
Ising: E=0.2359, m=-0.058;  Heat bath: E=0.3013, T = 1.189; E_tot=0.278∓0.014
Ising: E=0.2381, m=-0.092;  Heat bath: E=0.3005, T = 1.184; E_tot=0.278∓0.014
