V_i=5000,V_h=5000
Ising: E=0.2940, m=-0.067;  Heat bath: E=0.3807, T = 2.055; E_tot=0.338∓0.018
Ising: E=0.2975, m=-0.084;  Heat bath: E=0.3762, T = 1.977; E_tot=0.337∓0.018
Ising: E=0.2992, m=-0.134;  Heat bath: E=0.3728, T = 1.921; E_tot=0.335∓0.018
Ising: E=0.3008, m=-0.060;  Heat bath: E=0.3694, T = 1.870; E_tot=0.333∓0.018
Ising: E=0.3016, m=0.036;  Heat bath: E=0.3674, T = 1.840; E_tot=0.332∓0.018
Ising: E=0.3022, m=-0.040;  Heat bath: E=0.3655, T = 1.813; E_tot=0.331∓0.018
Ising: E=0.2979, m=-0.045;  Heat bath: E=0.3636, T = 1.786; E_tot=0.328∓0.018
Ising: E=0.3033, m=0.014;  Heat bath: E=0.3599, T = 1.737; E_tot=0.328∓0.018
Ising: E=0.3010, m=-0.063;  Heat bath: E=0.3592, T = 1.727; E_tot=0.326∓0.018
Ising: E=0.2984, m=-0.110;  Heat bath: E=0.3587, T = 1.720; E_tot=0.325∓0.018
Ising: E=0.3025, m=0.000;  Heat bath: E=0.3538, T = 1.661; E_tot=0.323∓0.018
Ising: E=0.3035, m=0.038;  Heat bath: E=0.3520, T = 1.639; E_tot=0.322∓0.018
Ising: E=0.3024, m=-0.110;  Heat bath: E=0.3509, T = 1.626; E_tot=0.321∓0.018
Ising: E=0.2993, m=-0.097;  Heat bath: E=0.3486, T = 1.599; E_tot=0.319∓0.018
Ising: E=0.2945, m=-0.031;  Heat bath: E=0.3473, T = 1.585; E_tot=0.316∓0.018
Ising: E=0.2986, m=-0.014;  Heat bath: E=0.3446, T = 1.556; E_tot=0.316∓0.018
Ising: E=0.2920, m=-0.044;  Heat bath: E=0.3481, T = 1.593; E_tot=0.316∓0.018
Ising: E=0.2923, m=-0.040;  Heat bath: E=0.3442, T = 1.551; E_tot=0.314∓0.018
Ising: E=0.2930, m=-0.020;  Heat bath: E=0.3411, T = 1.518; E_tot=0.312∓0.018
Ising: E=0.2883, m=-0.062;  Heat bath: E=0.3395, T = 1.503; E_tot=0.309∓0.018
Ising: E=0.2914, m=-0.096;  Heat bath: E=0.3381, T = 1.489; E_tot=0.309∓0.018
Ising: E=0.2888, m=-0.070;  Heat bath: E=0.3372, T = 1.480; E_tot=0.308∓0.018
Ising: E=0.2879, m=-0.028;  Heat bath: E=0.3341, T = 1.449; E_tot=0.305∓0.018
Ising: E=0.2797, m=-0.035;  Heat bath: E=0.3360, T = 1.468; E_tot=0.304∓0.018
Ising: E=0.2778, m=-0.076;  Heat bath: E=0.3341, T = 1.449; E_tot=0.302∓0.018
Ising: E=0.2844, m=-0.097;  Heat bath: E=0.3305, T = 1.416; E_tot=0.302∓0.018
Ising: E=0.2819, m=-0.135;  Heat bath: E=0.3272, T = 1.388; E_tot=0.299∓0.018
Ising: E=0.2804, m=-0.045;  Heat bath: E=0.3295, T = 1.408; E_tot=0.300∓0.018
Ising: E=0.2849, m=0.026;  Heat bath: E=0.3236, T = 1.357; E_tot=0.297∓0.018
Ising: E=0.2824, m=-0.074;  Heat bath: E=0.3228, T = 1.350; E_tot=0.296∓0.018
Ising: E=0.2746, m=-0.057;  Heat bath: E=0.3273, T = 1.389; E_tot=0.296∓0.018
Ising: E=0.2759, m=-0.158;  Heat bath: E=0.3236, T = 1.356; E_tot=0.294∓0.018
Ising: E=0.2765, m=-0.030;  Heat bath: E=0.3225, T = 1.347; E_tot=0.294∓0.018
